Transaction_ID,Card_Type,Merchant_Category,Transaction_Amount,Transaction_DateTime,Location,Region,Cardholder_Age,Cardholder_Gender,Cardholder_Monthly_Income,Cardholder_Average_Spend,Credit_Limit,Device_Type,Day_of_Week,Is_Fraudulent
T215MA69,Mastercard,Healthcare,99500.0,2020-01-20 13:41:01,Delhi,North,66.0,Male,119634.0,83711.76,100000.0,Desktop,Monday,No
G118UO76,Visa,Transportation,65273.0,2020-01-21 05:28:06,Bengaluru,South,57.0,Male,132309.0,68810.0,100000.0,Unknown,Tuesday,No
K900GN42,RuPay,Education,40444.0,2020-01-21 15:42:25,Bengaluru,South,18.0,Male,73765.0,34399.41,50000.0,Unknown,Tuesday,No
M519XW11,American Express,Dining,142798.0,2020-01-22 03:31:35,Lucknow,North,76.0,Male,,145755.09,150000.0,Contactless Payment Device,Wednesday,No
L353SX73,Mastercard,Utility bill,51085.0,2020-01-22 03:54:16,Jaipur,North,20.0,Male,133493.0,29666.79,100000.0,Mobile,Wednesday,Yes
F600UH92,RuPay,Healthcare,129968.0,2020-01-22 11:32:36,Ahmedabad,West,37.0,Female,145251.0,52759.44,150000.0,Unknown,Wednesday,No
B964SR36,Mastercard,Education,69099.0,2020-01-22 14:10:32,Pune,West,54.0,,184379.0,54165.3,200000.0,Contactless Payment Device,Wednesday,No
M719KG97,Mastercard,Transportation,40523.0,2020-01-23 02:47:33,Pune,West,40.0,Male,106389.0,16215.11,100000.0,Desktop,Thursday,No
N544EF67,Visa,Dining,34088.0,2020-01-23 04:34:31,Mumbai,West,35.0,Female,59734.0,18879.64,50000.0,Mobile,Thursday,No
O627PD54,Visa,Transportation,112071.0,2020-01-23 09:21:15,Chennai,South,75.0,Male,154073.0,70013.3,200000.0,Point-of-Sale Terminal,Thursday,No
V104OM57,Mastercard,Education,50784.0,2020-01-23 23:07:06,Lucknow,North,53.0,Female,111715.0,66086.12,100000.0,Point-of-Sale Terminal,Thursday,No
H843SQ31,RuPay,Dining,84896.0,2020-01-24 00:03:47,Lucknow,North,21.0,Male,112487.0,69329.13,100000.0,Contactless Payment Device,Friday,No
S166PA70,American Express,Education,81979.0,2020-01-24 00:50:43,Kolkata,East,70.0,Male,143197.0,101475.72,150000.0,Unknown,Friday,Yes
M565AC49,American Express,Online Shopping,94180.0,2020-01-25 01:30:19,Mumbai,West,39.0,Female,80778.0,57246.72,100000.0,Unknown,Saturday,No
G301MY66,RuPay,Education,77445.0,2020-01-25 01:31:57,Mumbai,West,27.0,Female,291474.0,39993.74,200000.0,Mobile,Saturday,Yes
W772IF93,RuPay,Transportation,34939.0,2020-01-25 07:33:28,Bengaluru,South,56.0,Female,,37545.89,200000.0,,Saturday,No
W986OG88,Visa,,95793.0,2020-01-25 20:24:20,Delhi,North,55.0,Male,84866.0,85113.39,100000.0,Point-of-Sale Terminal,Saturday,Yes
F974PA20,Mastercard,Online Shopping,78848.0,2020-01-26 01:11:56,Kolkata,East,75.0,Male,184610.0,,200000.0,Unknown,Sunday,Yes
B513SC80,American Express,Retail,87771.0,2020-01-26 11:54:21,Pune,West,19.0,Male,116049.0,81029.51,150000.0,Point-of-Sale Terminal,Sunday,Yes
I371NZ95,Visa,Transportation,87818.0,2020-01-26 17:20:55,Lucknow,North,23.0,Male,115086.0,91218.7,150000.0,Point-of-Sale Terminal,Sunday,Yes
I681UZ60,American Express,Online Shopping,50464.0,2020-01-26 17:46:02,Lucknow,North,71.0,Male,112065.0,28845.04,100000.0,Unknown,Sunday,Yes
I251PP24,RuPay,Education,50939.0,2020-01-27 01:09:27,Hyderabad,South,29.0,Male,293939.0,59785.2,200000.0,Contactless Payment Device,Monday,Yes
X402DA54,Visa,Healthcare,83039.0,2020-01-27 10:31:50,Surat,West,46.0,Male,219402.0,89673.77,150000.0,Desktop,Monday,No
K604CJ49,Visa,Retail,34309.0,2020-01-27 12:15:11,Surat,West,27.0,Male,42445.0,15497.48,50000.0,Mobile,Monday,No
P325JV67,RuPay,Online Shopping,75151.0,2020-01-27 17:20:46,Chennai,South,33.0,Female,103541.0,45427.54,100000.0,Contactless Payment Device,Monday,Yes
P629KW45,Mastercard,Online Shopping,29234.0,2020-01-28 03:12:34,Mumbai,West,32.0,Male,53723.0,22859.01,50000.0,Point-of-Sale Terminal,Tuesday,Yes
V838XE87,Visa,Transportation,98244.0,2020-01-28 09:40:08,Bengaluru,South,48.0,Female,196215.0,46653.12,150000.0,Desktop,Tuesday,No
B680OU26,Visa,Online Shopping,30458.0,2020-01-28 11:00:51,Kochi,South,33.0,Male,70874.0,21184.07,50000.0,Desktop,Tuesday,Yes
M488TN11,Visa,Retail,42119.0,2020-01-28 13:02:04,Kochi,South,79.0,Male,51037.0,29991.45,50000.0,Unknown,Tuesday,Yes
L711MG54,Mastercard,Transportation,49489.0,2020-01-29 05:50:38,Surat,West,53.0,Female,73338.0,31594.7,50000.0,Contactless Payment Device,Wednesday,No
I331NQ73,Mastercard,Healthcare,47169.0,2020-01-29 09:48:55,Ahmedabad,West,69.0,Male,190918.0,59592.68,150000.0,Unknown,Wednesday,No
J589IX35,Mastercard,Education,115450.0,2020-01-29 15:43:30,Delhi,North,30.0,Male,297341.0,77795.12,200000.0,Contactless Payment Device,Wednesday,Yes
Y918LC10,Visa,Online Shopping,89186.0,2020-01-29 18:01:33,Jaipur,North,63.0,Male,88781.0,90685.83,100000.0,Desktop,Wednesday,No
V410MS94,Mastercard,Utility bill,31385.0,2020-01-29 19:58:18,Kolkata,East,72.0,,143184.0,42509.38,100000.0,Unknown,Wednesday,No
Y870JQ80,RuPay,Entertainment,52328.0,2020-01-30 12:58:57,Hyderabad,South,79.0,Female,209419.0,72954.33,150000.0,Mobile,Thursday,No
L762HZ82,RuPay,Online Shopping,88623.0,2020-01-30 17:49:04,Pune,West,46.0,Male,128357.0,91121.26,150000.0,Desktop,Thursday,No
L110RC83,Mastercard,Online Shopping,49174.0,2020-01-31 13:10:09,Chennai,South,70.0,Male,57325.0,37893.76,50000.0,Unknown,Friday,No
S386WP36,Visa,Utility bill,68124.0,2020-01-31 15:18:59,Patna,East,72.0,Male,264960.0,84102.68,200000.0,Desktop,Friday,No
I151TX54,Visa,Retail,101974.0,2020-01-31 19:14:20,Chennai,South,69.0,Male,152429.0,126920.17,150000.0,Unknown,Friday,No
X442WG47,Visa,Education,28542.0,2020-02-01 14:40:45,Pune,West,72.0,Male,50529.0,13087.41,50000.0,Desktop,Saturday,Yes
R544AG64,Mastercard,Education,44608.0,2020-02-01 18:25:22,Kochi,South,49.0,Male,192513.0,43176.0,200000.0,Unknown,Saturday,No
U551GC63,Visa,Entertainment,46354.0,2020-02-01 23:12:18,Kochi,South,45.0,Male,43003.0,41305.85,50000.0,Mobile,Saturday,No
N750IE14,American Express,Healthcare,34984.0,2020-02-02 00:25:35,Kochi,South,23.0,Female,55389.0,23402.86,50000.0,Mobile,Sunday,Yes
P537BG67,Visa,Retail,49166.0,2020-02-02 07:35:58,Hyderabad,South,47.0,Female,63506.0,40886.03,50000.0,Contactless Payment Device,Sunday,Yes
R479RL47,Visa,Education,109614.0,2020-02-02 09:09:30,Jaipur,North,18.0,Female,290740.0,131297.22,200000.0,Point-of-Sale Terminal,Sunday,No
G646PM43,Mastercard,Healthcare,190070.0,2020-02-02 20:12:10,Ahmedabad,West,77.0,Male,195571.0,87887.24,200000.0,Unknown,Sunday,No
E552EK49,Visa,Retail,164471.0,2020-02-03 01:29:21,Patna,East,19.0,Female,156532.0,141330.54,200000.0,Point-of-Sale Terminal,Monday,No
D776FI76,Mastercard,Education,107121.0,2020-02-03 01:35:21,Ahmedabad,West,41.0,Male,247552.0,125742.35,200000.0,Point-of-Sale Terminal,Monday,Yes
N325NP67,Mastercard,Retail,63147.0,2020-02-03 07:51:17,Kochi,South,41.0,Female,104726.0,44640.87,100000.0,Unknown,Monday,No
T968JV53,Visa,Education,26107.0,2020-02-03 11:27:48,Patna,East,69.0,Male,45270.0,36476.87,50000.0,Desktop,Monday,No
Q380FH43,American Express,Online Shopping,36419.0,2020-02-03 18:49:53,Surat,West,38.0,Female,63298.0,39776.33,50000.0,Desktop,Monday,No
T737ZJ47,Mastercard,Online Shopping,27283.0,2020-02-03 20:46:01,Surat,West,,Female,38105.0,14092.56,50000.0,Desktop,Monday,Yes
M204SY44,Visa,Retail,34326.0,2020-02-04 01:20:17,Kochi,South,45.0,Male,59527.0,15376.4,50000.0,Desktop,Tuesday,No
Q986NB47,Visa,Utility bill,96392.0,2020-02-04 04:56:36,Lucknow,North,,Female,72301.0,62669.78,100000.0,Point-of-Sale Terminal,Tuesday,No
F884WH60,Visa,Transportation,42374.0,2020-02-04 04:59:49,Patna,East,53.0,Female,115913.0,42253.46,100000.0,Unknown,Tuesday,No
L507VL33,Visa,Utility bill,31822.0,2020-02-04 12:42:19,Pune,West,75.0,Female,47497.0,39630.98,50000.0,Point-of-Sale Terminal,Tuesday,No
S662PL46,Visa,Online Shopping,197999.0,2020-02-04 13:30:19,Mumbai,West,64.0,Male,153056.0,176814.28,200000.0,Contactless Payment Device,Tuesday,No
W488MC30,RuPay,Transportation,86357.0,2020-02-04 15:18:43,Chennai,South,31.0,Male,141776.0,62680.18,150000.0,Contactless Payment Device,Tuesday,No
O941KF62,Mastercard,Education,37410.0,2020-02-04 23:14:14,Patna,East,25.0,Female,74899.0,43397.37,50000.0,Contactless Payment Device,Tuesday,No
I268GA73,Visa,Entertainment,33652.0,2020-02-05 02:54:31,Jaipur,North,31.0,Male,216817.0,21371.49,150000.0,Point-of-Sale Terminal,Wednesday,No
D427WX32,Visa,Education,104854.0,2020-02-05 14:28:03,Lucknow,North,29.0,Female,281409.0,111888.99,200000.0,Mobile,Wednesday,No
T829UY97,RuPay,Transportation,32382.0,2020-02-06 02:56:11,Jaipur,North,52.0,Male,64768.0,,50000.0,Contactless Payment Device,Thursday,Yes
G684NG80,Visa,Online Shopping,90035.0,2020-02-06 06:19:48,Lucknow,North,58.0,,,,100000.0,Unknown,Thursday,No
R235WJ69,Visa,Education,29627.0,2020-02-06 14:53:08,Mumbai,West,53.0,Female,41703.0,24397.69,50000.0,Mobile,Thursday,No
A954MW38,Mastercard,Entertainment,53205.0,2020-02-07 02:50:06,Chennai,South,74.0,Female,110399.0,50854.07,100000.0,Contactless Payment Device,Friday,No
H888EC78,Visa,Retail,133500.0,2020-02-07 13:37:16,Lucknow,North,69.0,Male,216266.0,140209.05,150000.0,Desktop,Friday,Yes
P899TU54,Mastercard,Online Shopping,111328.0,2020-02-07 14:05:17,Hyderabad,South,31.0,Female,148526.0,133224.15,150000.0,Point-of-Sale Terminal,Friday,No
J176DW79,Visa,Utility bill,128065.0,2020-02-07 16:30:10,Bengaluru,South,23.0,Male,200071.0,113133.57,150000.0,Desktop,Friday,No
Z155OK58,Mastercard,Retail,33933.0,2020-02-07 22:36:47,Pune,West,58.0,Female,45114.0,40595.87,50000.0,Point-of-Sale Terminal,Friday,No
Z509MC16,Mastercard,Entertainment,169178.0,2020-02-08 01:52:55,Patna,East,69.0,Male,166455.0,120160.55,200000.0,Point-of-Sale Terminal,Saturday,No
R477EM17,RuPay,Healthcare,46113.0,2020-02-08 08:02:58,Delhi,North,29.0,Male,147853.0,53881.56,150000.0,Desktop,Saturday,Yes
R836OJ58,Visa,Retail,141006.0,2020-02-08 16:44:20,Ahmedabad,West,69.0,,259591.0,190272.55,200000.0,Point-of-Sale Terminal,Saturday,Yes
Y139HR66,Mastercard,Healthcare,102668.0,2020-02-08 16:49:33,Kochi,South,20.0,Female,189028.0,69693.11,150000.0,Unknown,Saturday,No
Z209DK83,RuPay,Online Shopping,149403.0,2020-02-09 16:52:33,Surat,West,33.0,Female,290372.0,111816.59,200000.0,Contactless Payment Device,Sunday,Yes
H152QK19,Mastercard,Retail,73122.0,2020-02-09 20:28:26,Delhi,North,23.0,Female,103746.0,52170.74,100000.0,Mobile,Sunday,No
G905OZ76,Visa,Entertainment,36783.0,2020-02-10 02:32:50,Mumbai,West,20.0,Female,131865.0,24807.53,100000.0,Unknown,Monday,Yes
K972NX41,Mastercard,Online Shopping,64339.0,2020-02-10 10:01:25,Kochi,South,63.0,Female,112399.0,41245.44,100000.0,Point-of-Sale Terminal,Monday,Yes
Q336DJ74,Mastercard,Transportation,149984.0,2020-02-10 14:54:06,Mumbai,West,31.0,Male,205537.0,,150000.0,Contactless Payment Device,Monday,No
H924YS32,Visa,Online Shopping,192292.0,2020-02-10 19:53:59,Bengaluru,South,80.0,Female,243145.0,197053.39,200000.0,Point-of-Sale Terminal,Monday,No
Y925UX29,Visa,Healthcare,63665.0,2020-02-11 21:32:13,Bengaluru,South,44.0,Female,270753.0,60892.67,200000.0,Mobile,Tuesday,No
I347ZQ67,Visa,Online Shopping,42894.0,2020-02-12 12:50:59,Kochi,South,65.0,Male,176190.0,48085.55,200000.0,Contactless Payment Device,Wednesday,No
F830TS66,Visa,Online Shopping,50534.0,2020-02-12 13:27:08,Mumbai,West,46.0,Male,83339.0,37610.51,100000.0,Contactless Payment Device,Wednesday,Yes
M951ZE63,RuPay,Healthcare,194704.0,2020-02-12 15:05:19,Kochi,South,21.0,Female,272380.0,180842.52,200000.0,Desktop,Wednesday,No
F938QT47,Visa,Retail,44546.0,2020-02-13 03:46:41,Hyderabad,South,78.0,Female,288358.0,41774.86,200000.0,Unknown,Thursday,No
D539ZE82,RuPay,Education,36453.0,2020-02-13 17:22:40,Ahmedabad,West,29.0,Female,62995.0,32431.87,50000.0,Contactless Payment Device,Thursday,No
A800FX92,RuPay,Online Shopping,43511.0,2020-02-13 19:30:32,Lucknow,North,69.0,Female,43807.0,41836.78,50000.0,Contactless Payment Device,Thursday,No
B517MF24,Visa,Utility bill,89824.0,2020-02-13 19:47:05,Kolkata,East,72.0,Female,85043.0,54921.2,100000.0,Mobile,Thursday,No
N344IC91,Visa,Entertainment,143177.0,2020-02-13 23:44:14,Mumbai,West,56.0,Male,230982.0,193419.45,200000.0,Mobile,Thursday,No
B315XO41,Mastercard,Online Shopping,27800.0,2020-02-14 05:16:09,Ahmedabad,West,50.0,Female,61367.0,,50000.0,Contactless Payment Device,Friday,Yes
G592DO18,American Express,Retail,26233.0,2020-02-14 21:06:43,Pune,West,76.0,Female,268443.0,25628.9,200000.0,Desktop,Friday,No
Q664LH26,RuPay,Online Shopping,97567.0,2020-02-15 04:27:26,Hyderabad,South,58.0,Male,106182.0,55355.32,100000.0,Mobile,Saturday,No
B949FD57,Mastercard,Transportation,49860.0,2020-02-15 10:02:01,Bengaluru,South,68.0,Male,159800.0,61334.67,150000.0,Mobile,Saturday,No
U969SJ72,Mastercard,Online Shopping,88620.0,2020-02-16 06:13:21,Hyderabad,South,73.0,Male,148113.0,61695.18,100000.0,Point-of-Sale Terminal,Sunday,No
J862UV12,RuPay,Healthcare,43105.0,2020-02-16 12:20:44,Kolkata,East,23.0,Male,37825.0,31797.86,50000.0,Point-of-Sale Terminal,Sunday,No
M258TO17,Visa,Education,28824.0,2020-02-16 21:37:33,Bengaluru,South,64.0,Female,73436.0,20718.64,100000.0,Desktop,Sunday,Yes
Q514RR67,Visa,Online Shopping,55568.0,2020-02-17 00:32:30,Pune,West,32.0,Female,189558.0,74764.0,150000.0,Point-of-Sale Terminal,Monday,No
O223DN32,Mastercard,Retail,182562.0,2020-02-17 22:27:04,Chennai,South,44.0,Female,265050.0,117196.21,200000.0,Point-of-Sale Terminal,Monday,No
I604FC84,Visa,Retail,36358.0,2020-02-18 15:37:44,Hyderabad,South,28.0,Female,72120.0,24635.49,50000.0,Mobile,Tuesday,No
D643UY46,RuPay,Retail,40638.0,2020-02-18 21:48:45,Mumbai,West,44.0,Male,59139.0,35909.99,50000.0,Desktop,Tuesday,No
K849KK93,Visa,Retail,42181.0,2020-02-19 18:41:42,Jaipur,North,44.0,Female,50706.0,21342.72,50000.0,Point-of-Sale Terminal,Wednesday,No
V187NS90,RuPay,Transportation,29986.0,2020-02-19 19:49:44,Pune,West,61.0,Female,179756.0,33616.93,150000.0,Desktop,Wednesday,No
J587TY42,RuPay,Dining,56516.0,2020-02-20 04:42:48,Mumbai,West,30.0,Male,,74601.17,200000.0,Contactless Payment Device,Thursday,Yes
J120MM21,Mastercard,Online Shopping,143756.0,2020-02-20 09:52:08,Kolkata,East,66.0,Female,164596.0,143980.56,150000.0,Unknown,Thursday,No
O779MM56,Visa,Retail,56578.0,2020-02-20 10:47:21,Mumbai,West,40.0,Female,133815.0,51352.91,100000.0,Point-of-Sale Terminal,Thursday,No
S982AK36,Mastercard,Transportation,33539.0,2020-02-20 23:40:31,Mumbai,West,32.0,Male,123817.0,33035.64,100000.0,Mobile,Thursday,No
Z203PJ62,Mastercard,Online Shopping,37176.0,2020-02-21 02:15:41,Surat,West,39.0,Female,66885.0,48162.26,50000.0,Point-of-Sale Terminal,Friday,No
Q999DW46,Mastercard,Entertainment,136335.0,2020-02-21 10:17:22,Lucknow,North,41.0,Female,132729.0,65814.18,150000.0,Desktop,Friday,Yes
R845PH57,Mastercard,Online Shopping,158294.0,2020-02-21 11:34:21,Lucknow,North,37.0,Female,297345.0,170282.15,200000.0,Contactless Payment Device,Friday,Yes
Q715QC49,RuPay,Healthcare,34011.0,2020-02-21 18:42:21,Kolkata,East,56.0,Female,72285.0,35906.22,50000.0,Unknown,Friday,No
N562PH25,Visa,Education,175673.0,2020-02-21 19:21:29,Hyderabad,South,54.0,Female,275624.0,114100.15,200000.0,Contactless Payment Device,Friday,Yes
P519WE50,RuPay,Online Shopping,105317.0,2020-02-21 20:24:54,Delhi,North,57.0,Female,112910.0,131307.66,150000.0,Mobile,Friday,No
M461VI24,Mastercard,Healthcare,47262.0,2020-02-21 21:52:54,Chennai,South,40.0,Male,70690.0,27732.43,50000.0,Contactless Payment Device,Friday,No
B656PY16,Mastercard,Dining,34440.0,2020-02-21 23:29:59,Lucknow,North,66.0,Female,42879.0,28675.21,50000.0,Desktop,Friday,No
L549XR71,RuPay,Education,143634.0,2020-02-22 00:31:32,Lucknow,North,19.0,Male,216710.0,125441.18,150000.0,Mobile,Saturday,Yes
G136ZW72,American Express,Entertainment,40640.0,2020-02-22 03:54:36,Lucknow,North,21.0,Female,70609.0,30671.16,50000.0,Point-of-Sale Terminal,Saturday,No
Z950XJ69,Visa,Online Shopping,85675.0,2020-02-22 08:36:06,Delhi,North,30.0,Female,210762.0,104904.82,200000.0,Unknown,Saturday,No
E303WR81,American Express,Transportation,50525.0,2020-02-22 13:13:14,Chennai,South,77.0,Female,119334.0,48816.28,150000.0,Unknown,Saturday,Yes
A407VK69,Visa,Healthcare,93150.0,2020-02-23 10:15:21,Surat,West,25.0,Female,130539.0,98775.92,150000.0,Mobile,Sunday,No
C968AF54,Visa,Dining,32087.0,2020-02-23 11:15:00,Hyderabad,South,74.0,Female,126023.0,16547.66,100000.0,Unknown,Sunday,No
G547KH15,Visa,Education,53675.0,2020-02-23 13:43:30,Delhi,North,55.0,Male,220270.0,26611.74,200000.0,Unknown,Sunday,No
P968ZJ54,Visa,Dining,141752.0,2020-02-24 02:10:28,Surat,West,33.0,Female,124678.0,,150000.0,Desktop,Monday,No
Q427ND59,RuPay,Online Shopping,34644.0,2020-02-24 15:44:33,Ahmedabad,West,19.0,Female,46660.0,42197.26,50000.0,Point-of-Sale Terminal,Monday,Yes
L248YK30,Mastercard,Utility bill,40097.0,2020-02-24 20:56:39,Patna,East,54.0,Female,,22369.5,50000.0,Unknown,Monday,No
G149CV39,Mastercard,Education,78445.0,2020-02-25 14:43:26,Chennai,South,38.0,Male,115192.0,,100000.0,Point-of-Sale Terminal,Tuesday,No
J147HJ35,Visa,Entertainment,89631.0,2020-02-26 03:39:04,Jaipur,North,66.0,Female,140977.0,73907.22,100000.0,Desktop,Wednesday,Yes
D375HY49,Visa,Online Shopping,63746.0,2020-02-26 09:02:16,Mumbai,West,62.0,Male,138520.0,54833.88,100000.0,Contactless Payment Device,Wednesday,No
O248NS97,Visa,Entertainment,47089.0,2020-02-26 11:11:13,Patna,East,48.0,Female,49211.0,,50000.0,Unknown,Wednesday,No
J527LV63,RuPay,Transportation,144277.0,2020-02-26 11:19:48,Patna,East,24.0,Female,192985.0,113343.66,150000.0,Desktop,Wednesday,Yes
